ARREST_KEY,Latitude,Longitude
173129122,40.82782056,-73.86351679
173129247,40.82488497,-73.89945994
173130583,40.6841943,-73.91608475
173119701,40.70744736,-73.79214177
173127004,40.73367436,-74.00682109
173116269,40.64893238,-73.94937317
173129121,40.82782056,-73.86351679
173123530,40.68257513,-73.79265917
173117306,40.75916979,-73.91940142
173116544,40.75916979,-73.91940142
173116545,40.75916979,-73.91940142
173129125,40.66639798,-73.90989635
173128426,40.88916271,-73.85296023
173116541,40.75916979,-73.91940142
173116276,40.7597333,-73.92059916
173127009,40.73367436,-74.00682109
173129347,40.64113113,-73.97173018
173128431,40.86341374,-73.91848695
173119700,40.70744736,-73.79214177
173129351,40.71898938,-73.98705781
173130580,40.88916271,-73.85296023
173110230,40.83395278,-73.87613415
173108368,40.66323721,-73.93158148
173108366,40.66323721,-73.93158148
173114456,40.82627114,-73.9440893
173108379,40.76187469,-73.96635808
173110237,40.72089168,-73.98881794
173110225,40.8831615,-73.85627888
173110219,40.8831615,-73.85627888
173113426,40.75930172,-73.93735573
173112657,40.6285156,-73.9413837
173108384,40.77544584,-73.91154324
173103584,40.63531819,-73.96378452
173110245,40.75626621,-73.99050125
173093432,40.64644894,-74.0788365
173080634,40.59406298,-73.96086869
173080621,40.88619925,-73.85798657
173070107,40.84858284,-73.90267718
173093431,40.60583714,-74.08627578
173090132,40.71933317,-73.99730304
173078324,40.64502275,-74.07721685
173074633,40.68962245,-73.96014913
173077305,40.76690501,-73.96373102
173064944,40.72629309,-73.73476085
173079671,40.64502275,-74.07721685
173050843,40.76539748,-73.98570226
173042033,40.83778162,-73.91945797
173050836,40.80193203,-73.93565411
173055344,40.76956124,-73.91536345
173042066,40.72629309,-73.73476085
173033176,40.79760937,-73.9413215
173042068,40.62322682,-74.14922697
173063380,40.70366215,-73.93621421
173045317,40.60274595,-73.75007787
173036502,40.81633659,-73.91866744
173063379,40.70366215,-73.93621421
173050842,40.80088089,-73.94095381
173026528,40.75885708,-73.98861665
173038213,40.88311992,-73.90332097
172984941,40.80088089,-73.94095381
173010809,40.82547196,-73.89294074
172998575,40.76204389,-73.82732958
172995160,40.67141166,-73.88151172
173010815,40.67111083,-73.91356336
173002613,40.68964821,-73.92405412
172992505,40.70731404,-73.75121513
172993874,40.70731404,-73.75121513
172998562,40.67111083,-73.91356336
173020302,40.87520464,-73.88855767
173022305,40.62322682,-74.14922697
172984944,40.80088089,-73.94095381
173007041,40.67111083,-73.91356336
172992507,40.72906475,-73.81102013
173022273,40.87704279,-73.88773736
173024158,40.87531061,-73.88744739
173024202,40.60847619,-74.08071846
173024199,40.74570645,-73.88641766
173026167,40.70451983,-73.8934704
173008680,40.69582949,-73.74230008
172992498,40.59791783,-73.99799932
172993869,40.70731404,-73.75121513
173000663,40.72687405,-73.97990901
172993855,40.84413995,-73.90038862
172977278,40.8535874,-73.90059136
172967528,40.69536745,-73.98324343
172970102,40.6759764,-73.96302338
172984929,40.84683883,-73.85907179
172957366,40.83778162,-73.91945797
172954470,40.75383684,-73.88410824
172979061,40.7525308,-73.99322319
172953020,40.75383684,-73.88410824
172953021,40.75383684,-73.88410824
172979063,40.7525308,-73.99322319
172953019,40.75383684,-73.88410824
172982555,40.82145596,-73.86619987
172970103,40.6759764,-73.96302338
172953018,40.75383684,-73.88410824
172982563,40.82737097,-73.86870649
172967524,40.83653816,-73.92332992
172970100,40.6759764,-73.96302338
172967519,40.8360271,-73.92251378
172962652,40.64870677,-73.90513094
172960705,40.60492532,-73.74631712
172977294,40.65799307,-74.00069345
172945098,40.86940749,-73.87999831
172945859,40.86940749,-73.87999831
172949054,40.80193203,-73.93565411
172948319,40.83791677,-73.93834421
172948677,40.80193203,-73.93565411
172948318,40.80193203,-73.93565411
172940445,40.69186056,-73.91623737
172948676,40.80193203,-73.93565411
172948674,40.80193203,-73.93565411
172937494,40.85207601,-73.86860712
172937017,40.7140601,-73.99020065
172937018,40.7140601,-73.99020065
172936574,40.722942,-73.98864443
172930029,40.75346379,-73.90539322
172933240,40.63861424,-73.94826763
172939407,40.6813182,-73.95650899
172939405,40.8717543,-73.88829227
172928600,40.75346379,-73.90539322
172937016,40.71630999,-73.98316601
172936576,40.76332034,-73.9737179
172935526,40.75346379,-73.90539322
172934364,40.75346379,-73.90539322
172928599,40.75346379,-73.90539322
172933741,40.85261246,-73.82781742
172893050,40.68733525,-73.93441974
172893604,40.6298194,-73.89815061
172893385,40.68498932,-73.79504221
172893279,40.64606855,-74.01647682
172923114,40.81300853,-73.95654577
172930026,40.68888508,-73.98993751
172922048,40.68004873,-73.77590919
172922032,40.86726372,-73.89685777
172921216,40.85728555,-73.93233984
172892972,40.84047018,-73.89117462
172923218,40.81300853,-73.95654577
172915163,40.77391474,-73.98878015
172893284,40.64606855,-74.01647682
172893939,40.70629037,-73.95035033
172893868,40.81725838,-73.94040458
172891525,40.80088089,-73.94095381
172891521,40.80088089,-73.94095381
172890063,40.6759764,-73.96302338
172891509,40.67111083,-73.91356336
172885224,40.71234778,-74.00088158
172879973,40.728466,-73.87519731
172892593,40.74368323,-73.92239743
172888620,40.67141166,-73.88151172
172879091,40.67135914,-73.96133885
172892068,40.76171509,-73.9650081
172885217,40.70629037,-73.95035033
172872355,40.84749535,-73.8927318
172892970,40.83861761,-73.87006845
172891501,40.6759764,-73.96302338
172888625,40.63068216,-73.97355397
172891506,40.57758742,-73.97633607
172891496,40.88733282,-73.84725001
172892269,40.86812253,-73.83136391
172892966,40.83861761,-73.87006845
172891937,40.76171509,-73.9650081
172877857,40.60941126,-73.96767025
172848356,40.86940749,-73.87999831
172870014,40.67459999,-73.93057482
172864454,40.82338729,-73.87017045
172870193,40.67459999,-73.93057482
172846308,40.72906475,-73.81102013
172866037,40.83372204,-73.91541554
172866047,40.57430102,-73.98869129
172853560,40.63866759,-74.0224634
172855863,40.67459999,-73.93057482
172853548,40.86748378,-73.89740337
172843267,40.67141166,-73.88151172
172860285,40.76956124,-73.91536345
172831523,40.81039849,-73.92489531
172867257,40.67873124,-73.9529883
172868569,40.6837673,-73.97874298
172887294,40.81039849,-73.92489531
172853551,40.82229849,-73.91169413
172849775,40.86940749,-73.87999831
172864456,40.82338729,-73.87017045
172841914,40.84413995,-73.90038862
172837404,40.88026761,-73.87678196
172868565,40.6837673,-73.97874298
172860265,40.63866759,-74.0224634
172837409,40.88026761,-73.87678196
172864467,40.82338729,-73.87017045
172801162,40.61903772,-74.0687291
172820259,40.71595712,-73.99735368
172808406,40.7450003,-73.87012832
172824934,40.82229849,-73.91169413
172810577,40.78934789,-73.94735241
172824944,40.85568292,-73.82908553
