ARREST_KEY,Latitude,Longitude
173142193,40.60228778,-73.95705743
173130588,40.63915077,-73.93966646
173148112,40.60228778,-73.95705743
173144924,40.60228778,-73.95705743
173126373,40.67998074,-73.77623391
173165717,40.88916271,-73.85296023
173130598,40.71285169,-73.9838306
173130584,40.69609802,-73.91559013
173114459,40.7944994,-73.94657908
173142207,40.60228778,-73.95705743
173119058,40.631636,-74.13668294
173124325,40.67998074,-73.77623391
173128427,40.67111083,-73.91356336
173114462,40.75197561,-73.86377324
173150522,40.60228778,-73.95705743
173130587,40.65844352,-73.90979175
173123529,40.85078237,-73.93542612
173126362,40.6609699,-73.93136755
173129123,40.81608887,-73.91768869
173113522,40.79581483,-73.93710107
173145870,40.60228778,-73.95705743
173148117,40.60228778,-73.95705743
173110254,40.58230199,-74.1689361
173113410,40.62719584,-73.92776373
173106335,40.6975353,-73.91066208
173105383,40.62558673,-73.94664942
173113256,40.57710822,-74.10496133
173097454,40.76949512,-73.91502417
173100197,40.72061847,-73.85397422
173112649,40.88079055,-73.88346385
173112658,40.75604354,-73.98694954
173093656,40.78587464,-73.95093015
173108372,40.67318841,-73.92931454
173115853,40.7878746,-73.92818165
173097296,40.81211597,-73.95516998
173103596,40.62381602,-74.0737809
173107277,40.81934957,-73.93011672
173093426,40.60219487,-73.74910401
173093586,40.81441492,-73.94053357
173091219,40.633538,-73.95201133
173092313,40.60219487,-73.74910401
173093427,40.60219487,-73.74910401
173090107,40.85406303,-73.90478382
173092315,40.60219487,-73.74910401
173093429,40.58423246,-73.8138565
173093666,40.65178946,-73.82746717
173078311,40.67459999,-73.93057482
173085790,40.66865308,-73.77207235
173079654,40.64886713,-73.9508219
173093425,40.60219487,-73.74910401
173080619,40.83142948,-73.90397064
173073320,40.75656759,-73.87593153
173093910,40.72266998,-73.98600365
173070110,40.81563578,-73.89693055
173090108,40.86662251,-73.90120097
173085791,40.75656759,-73.87593153
173083133,40.74112325,-73.98855472
173078306,40.65224913,-73.94013032
173093594,40.6949185,-73.79271094
173034740,40.60607812,-73.8223741
173063371,40.83358121,-73.8498488
173027979,40.78963684,-73.94316307
173079652,40.6801707,-73.89318842
173079657,40.6801707,-73.89318842
173039180,40.68039861,-73.94955839
173042043,40.67408041,-73.92923068
173034731,40.64113548,-73.94562447
173034733,40.64113548,-73.94562447
173033181,40.60607812,-73.8223741
173047024,40.82350653,-73.86407845
173027987,40.67104996,-73.84303736
173064918,40.70734949,-73.89625759
173053168,40.59132904,-73.98274384
173053160,40.85742933,-73.89369544
173063376,40.82379355,-73.92615925
173027973,40.66649383,-73.88779254
173064917,40.68555882,-73.78376909
173079651,40.6801707,-73.89318842
173034732,40.64113548,-73.94562447
173034734,40.64113548,-73.94562447
173060837,40.66893165,-73.92144983
173059287,40.86358075,-73.92601385
